,Location,none,high_school,associate,bachelor,graduate
136,"Cape Charles, Virginia",15.75,20.73,24.23,23.69,15.61
137,"Brookneal, Virginia",19.44,40.44,29.89,8.56,1.67
138,"Bristol, Virginia",17.55,32.77,26.34,16.09,7.26
139,"Bridgewater, Virginia",8.91,33.59,20.97,21.17,15.37
140,"Bluefield, Virginia",15.92,27.73,35.6,14.14,6.6
141,"Big Stone Gap, Virginia",30.08,28.67,25.58,10.44,5.22
142,"Bedford, Virginia",17.37,35.35,27.23,14.19,5.85
143,"Ashland, Virginia",15.86,34.35,27.15,11.99,10.65
144,"Appalachia, Virginia",23.71,29.48,31.5,9.89,5.42
145,"Altavista, Virginia",20.25,38.72,21.33,13.29,6.41
146,"Alexandria, Virginia",8.48,12.14,18.02,29.83,31.54
147,"Abingdon, Virginia",15.03,25.85,27.47,18.3,13.35
148,"Louisa, Virginia",19.84,35.23,25.95,11.79,7.19
149,"Buena Vista, Virginia",18.14,40.5,24.91,10.98,5.46
150,"Culpeper, Virginia",17.89,31.54,28.2,15.59,6.78
151,"Blackstone, Virginia",20.94,34.95,23.71,12.95,7.45
152,"Danville, Virginia",21.32,28.09,32.73,11.31,6.55
153,"Damascus, Virginia",28.8,20.47,34.06,13.77,2.9
154,"Leesburg, Virginia",10.27,16.76,23.63,31.28,18.07
155,"Lebanon, Virginia",18.78,32.07,29.98,12.01,7.17
156,"Lawrenceville, Virginia",22.27,26.93,26.06,16.16,8.59
157,"Hurt, Virginia",13.8,34.14,32.93,14.3,4.83
158,"Hillsville, Virginia",21.5,30.22,30.85,11.67,5.76
159,"Haymarket, Virginia",6.85,13.2,32.66,32.49,14.81
160,"Harrisonburg, Virginia",15.93,26.5,21.8,20.55,15.21
161,"Hampton, Virginia",10.13,27.32,39.34,14.87,8.34
162,"Grottoes, Virginia",16.34,51.26,22.91,7.89,1.6
163,"Gretna, Virginia",25.27,34.15,28.37,6.53,5.67
164,"Gordonsville, Virginia",24.96,28.72,31.44,7.71,7.18
165,"Gate City, Virginia",22.15,28.37,35.69,10.01,3.78
166,"Hopewell, Virginia",19.06,38.31,30.28,8.1,4.24
167,"Front Royal, Virginia",18.73,35.95,28.61,11.43,5.28
168,"Galax, Virginia",27.65,33.66,27.11,8.21,3.37
169,"Dublin, Virginia",17.76,33.62,36.47,8.3,3.86
170,"Dumfries, Virginia",24.67,30.31,29.98,9.66,5.38
171,"Dayton, Virginia",11.38,29.57,26.59,23.62,8.84
172,"Emporia, Virginia",25.32,32.6,23.99,10.48,7.61
173,"Exmore, Virginia",36.42,36.06,21.25,3.36,2.91
174,"Elkton, Virginia",17.97,38.29,26.12,12.73,4.89
175,"Falls Church, Virginia",2.3,7.52,11.4,34.41,44.36
176,"Farmville, Virginia",10.26,35.95,21.47,16.92,15.4
177,"Franklin, Virginia",19.79,24.87,29.12,16.12,10.1
178,"Fredericksburg, Virginia",9.02,26.93,26.71,21.22,16.12
